name,adp,adpsd,position,team,proj,projsd
Quinn Ewers,2.2,0.66432,QB,Texas Longhorns,1,1
Kyron Drones,3,0.744,QB,Virginia Tech Hokies,1,1
Jaydon Blue,4,0.84,RB,Texas Longhorns,1,1
Will Howard,4.6,0.89568,QB,Ohio State Buckeyes,1,1
Quinshon Judkins,5.2,0.94992,RB,Ohio State Buckeyes,1,1
TreVeyon Henderson,6.7,1.07922,RB,Ohio State Buckeyes,1,1
Emeka Egbuka,7.2,1.12032,WR,Ohio State Buckeyes,1,1
Isaiah Bond,9.1,1.26738,WR,Texas Longhorns,1,1
Xavier Restrepo,9.8,1.31792,WR,Miami (FL) Hurricanes,1,1
Damien Martinez,10.9,1.39338,RB,Miami (FL) Hurricanes,1,1
Trevor Etienne,12.1,1.47018,RB,Georgia Bulldogs,1,1
Bhayshul Tuten,12.9,1.51818,RB,Virginia Tech Hokies,1,1
Jeremiah Smith,14.1,1.58538,WR,Ohio State Buckeyes,1,1
Garrett Greene,16.5,1.7025,QB,West Virginia Mountaineers,1,1
Eugene Wilson,17,1.724,WR,Florida Gators,1,1
Johntay Cook II,17.4,1.74048,WR,Texas Longhorns,1,1
Nicholas Singleton,17.6,1.74848,RB,Penn State Nittany Lions,1,1
Phil Mafah,19.7,1.82282,RB,Clemson Tigers,1,1
Tyler Warren,20.8,1.85472,TE,Penn State Nittany Lions,1,1
Jahiem White,21.6,1.87488,RB,West Virginia Mountaineers,1,1
Cam Ward,22.6,1.89648,QB,Miami (FL) Hurricanes,1,1
Carnell Tate,22.9,1.90218,WR,Ohio State Buckeyes,1,1
Elijhah Badger,23.2,1.90752,WR,Florida Gators,1,1
Ali Jennings,25.9,1.93938,WR,Virginia Tech Hokies,1,1
Carson Beck,25.9,1.93938,QB,Georgia Bulldogs,1,1
Jake Briningstool,26.3,1.94162,TE,Clemson Tigers,1,1
Oscar Delp,27.4,1.94448,TE,Georgia Bulldogs,1,1
Jacolby George,28.3,1.94322,WR,Miami (FL) Hurricanes,1,1
Roman Hemby,28.5,1.9425,RB,Maryland Terrapins,1,1
Dominic Lovett,30.1,1.93098,WR,Georgia Bulldogs,1,1
Amari Niblack,30.2,1.92992,TE,Texas Longhorns,1,1
Da'Quan Felton,32,1.904,WR,Virginia Tech Hokies,1,1
Montrell Johnson Jr.,32.2,1.90032,RB,Florida Gators,1,1
Jahmal Banks,32.6,1.89248,WR,Nebraska Cornhuskers,1,1
Mitchell Evans,32.7,1.89042,TE,Notre Dame Fighting Irish,1,1
Thomas Fidone II,33.6,1.87008,TE,Nebraska Cornhuskers,1,1
Gabe Ervin Jr.,34,1.86,RB,Nebraska Cornhuskers,1,1
Noah Thomas,34.4,1.84928,WR,Texas A&M Aggies,1,1
Graham Mertz,34.8,1.83792,QB,Florida Gators,1,1
Dylan Raiola,34.9,1.83498,QB,Nebraska Cornhuskers,1,1
Drew Allar,35,1.832,QB,Penn State Nittany Lions,1,1
Kris Mitchell,35,1.832,WR,Notre Dame Fighting Irish,1,1
Ben Yurosek,35.1,1.82898,TE,Georgia Bulldogs,1,1
Kaden Prather,35.1,1.82898,WR,Maryland Terrapins,1,1
Kole Taylor,35.1,1.82898,TE,West Virginia Mountaineers,1,1
Kaytron Allen,35.2,1.82592,RB,Penn State Nittany Lions,1,1
Julian Fleming,35.2,1.82592,WR,Penn State Nittany Lions,1,1
Branson Robinson,35.3,1.82282,RB,Georgia Bulldogs,1,1
Silas Bolden,35.4,1.81968,WR,Texas Longhorns,1,1
Le'Veon Moss,35.4,1.81968,RB,Texas A&M Aggies,1,1
Dillon Bell,35.4,1.81968,WR,Georgia Bulldogs,1,1
Arch Manning,35.5,1.8165,QB,Texas Longhorns,1,1
Samuel Brown,35.6,1.81328,WR,Miami (FL) Hurricanes,1,1
Roderick Robinson II,35.6,1.81328,RB,Georgia Bulldogs,1,1
Jadarian Price,35.6,1.81328,RB,Notre Dame Fighting Irish,1,1
CJ Donaldson Jr.,35.7,1.81002,RB,West Virginia Mountaineers,1,1
Jeremiyah Love,35.7,1.81002,RB,Notre Dame Fighting Irish,1,1
Trent Pearman,35.7,1.81002,QB,Clemson Tigers,1,1
Jaden Greathouse,35.7,1.81002,WR,Notre Dame Fighting Irish,1,1
Diego Pavia,35.7,1.81002,QB,Vanderbilt Commodores,1,1
Conner Weigman,35.7,1.81002,QB,Texas A&M Aggies,1,1
Tai Felton,35.8,1.80672,WR,Maryland Terrapins,1,1
Elijah Arroyo,35.8,1.80672,TE,Miami (FL) Hurricanes,1,1
Moose Muhammad III,35.8,1.80672,WR,Texas A&M Aggies,1,1
Mark Fletcher Jr.,35.8,1.80672,RB,Miami (FL) Hurricanes,1,1
Arlis Boardingham,35.9,1.80338,TE,Florida Gators,1,1
Riley Leonard,35.9,1.80338,QB,Notre Dame Fighting Irish,1,1
Quintrevion Wisner,35.9,1.80338,RB,Texas Longhorns,1,1
Ryan Wingo,35.9,1.80338,WR,Texas Longhorns,1,1
Jaylin Lane,35.9,1.80338,WR,Virginia Tech Hokies,1,1
Gee Scott Jr.,35.9,1.80338,TE,Ohio State Buckeyes,1,1
Preston Howard,35.9,1.80338,TE,Maryland Terrapins,1,1
Tyler Brown,35.9,1.80338,WR,Clemson Tigers,1,1
Harrison Wallace III,36,1.8,WR,Penn State Nittany Lions,1,1
Junior Sherrill,36,1.8,WR,Vanderbilt Commodores,1,1
Eli Stowers,36,1.8,TE,Vanderbilt Commodores,1,1
Jaylen Lloyd,36,1.8,WR,Nebraska Cornhuskers,1,1
Preston Fox,36,1.8,WR,West Virginia Mountaineers,1,1
Jahdae Walker,36,1.8,WR,Texas A&M Aggies,1,1
Matthew Golden,36,1.8,WR,Texas Longhorns,1,1
Donovan Green,36,1.8,TE,Texas A&M Aggies,1,1
Traylon Ray,36,1.8,WR,West Virginia Mountaineers,1,1
Cade Klubnik,,0.432,QB,Clemson Tigers,1,1
MJ Morris,,0.432,QB,Maryland Terrapins,1,1
Antonio Williams,,0.432,WR,Clemson Tigers,1,1
Colbie Young,,0.432,WR,Georgia Bulldogs,1,1
Treyaun Webb,,0.432,RB,Florida Gators,1,1
Bryant Wesco,,0.432,WR,Clemson Tigers,1,1
Keith Adams Jr.,,0.432,RB,Clemson Tigers,1,1
Emmett Johnson,,0.432,RB,Nebraska Cornhuskers,1,1
Sedrick Alexander,,0.432,RB,Vanderbilt Commodores,1,1
Quincy Skinner,,0.432,WR,Vanderbilt Commodores,1,1
AJ Newberry,,0.432,RB,Vanderbilt Commodores,1,1
Jaden Bray,,0.432,WR,West Virginia Mountaineers,1,1
Hudson Clement,,0.432,WR,West Virginia Mountaineers,1,1
Jordan Faison,,0.432,WR,Notre Dame Fighting Irish,1,1
Jadan Baugh,,0.432,RB,Florida Gators,1,1
Beau Pribula,,0.432,QB,Penn State Nittany Lions,1,1
Jerrick Gibson,,0.432,RB,Texas Longhorns,1,1
Octavian Smith Jr.,,0.432,WR,Maryland Terrapins,1,1
Malachi Thomas,,0.432,RB,Virginia Tech Hokies,1,1
Kaden Saunders,,0.432,WR,Penn State Nittany Lions,1,1
Jayden Thomas,,0.432,WR,Notre Dame Fighting Irish,1,1
Amari Daniels,,0.432,RB,Texas A&M Aggies,1,1
Jay Haynes,,0.432,RB,Clemson Tigers,1,1
Isaiah Neyor,,0.432,WR,Nebraska Cornhuskers,1,1
Billy Edwards Jr.,,0.432,QB,Maryland Terrapins,1,1
Nolan Ray,,0.432,RB,Maryland Terrapins,1,1
Devyn Ford,,0.432,RB,Notre Dame Fighting Irish,1,1
Colby McDonald,,0.432,RB,Maryland Terrapins,1,1
Brandon Inniss,,0.432,WR,Ohio State Buckeyes,1,1
Dante Dowdell,,0.432,RB,Nebraska Cornhuskers,1,1
Jayden Ballard,,0.432,WR,Ohio State Buckeyes,1,1
Troy Stellato,,0.432,WR,Clemson Tigers,1,1
DeAndre Moore,,0.432,WR,Texas Longhorns,1,1
Jabre Barber,,0.432,WR,Texas A&M Aggies,1,1
Hayden Hansen,,0.432,TE,Florida Gators,1,1
Chimere Dike,,0.432,WR,Florida Gators,1,1
Cole Spence,,0.432,TE,Vanderbilt Commodores,1,1
James Peoples,,0.432,RB,Ohio State Buckeyes,1,1
Arian Smith,,0.432,WR,Georgia Bulldogs,1,1
Stephen Gosnell,,0.432,WR,Virginia Tech Hokies,1,1
Loic Fouonji,,0.432,WR,Vanderbilt Commodores,1,1
Heinrich Haarberg,,0.432,QB,Nebraska Cornhuskers,1,1
Andrew Rappleyea,,0.432,TE,Penn State Nittany Lions,1,1
Adam Randall,,0.432,WR,Clemson Tigers,1,1
EJ Smith,,0.432,RB,Texas A&M Aggies,1,1
Dylan Wade,,0.432,TE,Maryland Terrapins,1,1
Cyrus Allen,,0.432,WR,Texas A&M Aggies,1,1
Rodney Gallagher,,0.432,WR,West Virginia Mountaineers,1,1
Omari Evans,,0.432,WR,Penn State Nittany Lions,1,1
Malachi Coleman,,0.432,WR,Nebraska Cornhuskers,1,1
Isaiah Horton,,0.432,WR,Miami (FL) Hurricanes,1,1
KK Smith,,0.432,WR,Notre Dame Fighting Irish,1,1
Cam Wallace,,0.432,RB,Penn State Nittany Lions,1,1
Kahleil Jackson,,0.432,WR,Florida Gators,1,1
Micah Bell,,0.432,WR,Vanderbilt Commodores,1,1
Gunnar Helm,,0.432,TE,Texas Longhorns,1,1
Ajay Allen,,0.432,RB,Miami (FL) Hurricanes,1,1
Jacory Barney,,0.432,WR,Nebraska Cornhuskers,1,1
Cameron Edge,,0.432,QB,Maryland Terrapins,1,1
Nate Johnson,,0.432,QB,Vanderbilt Commodores,1,1
Justin Robinson,,0.432,WR,West Virginia Mountaineers,1,1
Moni Jones,,0.432,RB,Vanderbilt Commodores,1,1
Devin Brown,,0.432,QB,Ohio State Buckeyes,1,1
Lawson Luckie,,0.432,TE,Georgia Bulldogs,1,1
Shaleak Knotts,,0.432,WR,Maryland Terrapins,1,1
Ray Ray Ray Joseph,,0.432,WR,Miami (FL) Hurricanes,1,1
Collin Schlee,,0.432,QB,Virginia Tech Hokies,1,1
Steve Angeli,,0.432,QB,Notre Dame Fighting Irish,1,1
Jaylen Anderson,,0.432,RB,West Virginia Mountaineers,1,1
Gunner Stockton,,0.432,QB,Georgia Bulldogs,1,1
Nicco Marchiol,,0.432,QB,West Virginia Mountaineers,1,1
Jaylen Henderson,,0.432,QB,Texas A&M Aggies,1,1
DJ Lagway,,0.432,QB,Florida Gators,1,1
Jeremiah Coney,,0.432,RB,Virginia Tech Hokies,1,1
Emory Williams,,0.432,QB,Miami (FL) Hurricanes,1,1
Clay Millen,,0.432,QB,Florida Gators,1,1
Rueben Owens,,0.432,RB,Texas A&M Aggies,1,1
CJ Baxter,,0.432,RB,Texas Longhorns,1,1
